Date : 2024-05-25 00:55:29
Directory : g:\flutter_projects\e_learning
Total : 230 files,  10457 codes, 385 comments, 928 blanks, all 11770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\my_courses_view.dart                   | Dart       |         32 |          0 |          4 |         36 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_details.dart                   | Dart       |         15 |          0 |          4 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_method_view.dart               | Dart       |         57 |          0 |          4 |         61 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_view.dart                      | Dart       |         59 |          0 |          4 |         63 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\transaction_view.dart                  | Dart       |         61 |          0 |          4 |         65 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\background_container.dart            | Dart       |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_channel.dart                  | Dart       |         40 |          0 |          2 |         42 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_details.dart                  | Dart       |         72 |          0 |          4 |         76 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_head_text.dart                | Dart       |         13 |          0 |          2 |         15 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_image.dart                    | Dart       |         22 |          0 |          5 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_info.dart                     | Dart       |         29 |          0 |          2 |         31 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_name.dart                     | Dart       |         30 |          0 |          3 |         33 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_video.dart                    | Dart       |         13 |          0 |          3 |         16 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_view_body.dart                | Dart       |         24 |          0 |          4 |         28 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\courses_tab_options.dart             | Dart       |         35 |          0 |          5 |         40 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\cousre_items_builder.dart            | Dart       |         45 |          1 |          3 |         49 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_divider.dart                  | Dart       |         16 |          0 |          3 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_radio_button.dart             | Dart       |         35 |          0 |          4 |         39 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_row.dart                      | Dart       |         27 |          0 |          4 |         31 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_tab_button.dart               | Dart       |         51 |          0 |          5 |         56 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_text_field.dart               | Dart       |         27 |          0 |          2 |         29 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\custom_wrap.dart                     | Dart       |         22 |          0 |          3 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\image_container.dart                 | Dart       |         21 |          0 |          4 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\methods_row.dart                     | Dart       |         23 |          0 |          3 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\methods_row2.dart                    | Dart       |         25 |          0 |          3 |         28 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\my_courses_list_view.dart            | Dart       |         25 |          0 |          4 |         29 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\my_courses_list_view_item.dart       | Dart       |        176 |          0 |          8 |        184 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\overview_items_builder.dart          | Dart       |         31 |          0 |          4 |         35 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\overview_row.dart                    | Dart       |         31 |          0 |          3 |         34 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\payment_details_body.dart            | Dart       |         61 |          0 |          4 |         65 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\payment_head_text.dart               | Dart       |         18 |          0 |          2 |         20 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\payment_progress.dart                | Dart       |         23 |          0 |          2 |         25 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\play_button.dart                     | Dart       |         23 |          0 |          3 |         26 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\price_row.dart                       | Dart       |         35 |          0 |          3 |         38 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\progress_container.dart              | Dart       |         32 |          0 |          2 |         34 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\progress_row.dart                    | Dart       |         31 |          0 |          4 |         35 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\progress_row_text.dart               | Dart       |         24 |          0 |          3 |         27 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\progress_text.dart                   | Dart       |         19 |          0 |          2 |         21 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\see_more_text.dart                   | Dart       |         41 |          0 |          3 |         44 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\skill_item.dart                      | Dart       |         33 |          0 |          4 |         37 |
| g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\video_player.dart                    | Dart       |         40 |          0 |          9 |         49 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\views\profile_view.dart                         | Dart       |         15 |          0 |          4 |         19 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\custom_item.dart                        | Dart       |         36 |          0 |          2 |         38 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_info.dart                       | Dart       |         35 |          0 |          3 |         38 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_items_builder.dart              | Dart       |         50 |          0 |          5 |         55 |
| g:\flutter_projects\e_learning\lib\features\layout\profile\ui\widgets\profile_view_body.dart                  | Dart       |         26 |          0 |          4 |         30 |
| g:\flutter_projects\e_learning\lib\features\splash\ui\views\splash_view.dart                                  | Dart       |         48 |          0 |          7 |         55 |
| g:\flutter_projects\e_learning\lib\intialview.dart                                                            | Dart       |         55 |          0 |          7 |         62 |
| g:\flutter_projects\e_learning\lib\main.dart                                                                  | Dart       |         22 |          0 |          4 |         26 |
| g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.cc                                   | C++        |          3 |          4 |          5 |         12 |
| g:\flutter_projects\e_learning\linux\flutter\generated_plugin_registrant.h                                    | C++        |          5 |          5 |          6 |         16 |
| g:\flutter_projects\e_learning\linux\main.cc                                                                  | C++        |          5 |          0 |          2 |          7 |
| g:\flutter_projects\e_learning\linux\my_application.cc                                                        | C++        |         82 |         17 |         26 |        125 |
| g:\flutter_projects\e_learning\linux\my_application.h                                                         | C++        |          7 |          7 |          5 |         19 |
| g:\flutter_projects\e_learning\macos\Flutter\GeneratedPluginRegistrant.swift                                  | Swift      |         12 |          3 |          4 |         19 |
| g:\flutter_projects\e_learning\macos\RunnerTests\RunnerTests.swift                                            | Swift      |          7 |          2 |          4 |         13 |
| g:\flutter_projects\e_learning\macos\Runner\AppDelegate.swift                                                 | Swift      |          8 |          0 |          2 |         10 |
| g:\flutter_projects\e_learning\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                  | JSON       |         68 |          0 |          1 |         69 |
| g:\flutter_projects\e_learning\macos\Runner\Base.lproj\MainMenu.xib                                           | XML        |        343 |          0 |          1 |        344 |
| g:\flutter_projects\e_learning\macos\Runner\MainFlutterWindow.swift                                           | Swift      |         12 |          0 |          4 |         16 |
| g:\flutter_projects\e_learning\pubspec.yaml                                                                   | YAML       |         43 |         35 |          8 |         86 |
| g:\flutter_projects\e_learning\test\widget_test.dart                                                          | Dart       |         14 |         10 |          7 |         31 |
| g:\flutter_projects\e_learning\web\index.html                                                                 | HTML       |         38 |         16 |          6 |         60 |
| g:\flutter_projects\e_learning\web\manifest.json                                                              | JSON       |         35 |          0 |          1 |         36 |
| g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.cc                                 | C++        |          3 |          4 |          5 |         12 |
| g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.h                                  | C++        |          5 |          5 |          6 |         16 |
| g:\flutter_projects\e_learning\windows\runner\flutter_window.cpp                                              | C++        |         49 |          7 |         16 |         72 |
| g:\flutter_projects\e_learning\windows\runner\flutter_window.h                                                | C++        |         20 |          5 |          9 |         34 |
| g:\flutter_projects\e_learning\windows\runner\main.cpp                                                        | C++        |         30 |          4 |         10 |         44 |
| g:\flutter_projects\e_learning\windows\runner\resource.h                                                      | C++        |          9 |          6 |          2 |         17 |
| g:\flutter_projects\e_learning\windows\runner\utils.cpp                                                       | C++        |         54 |          2 |         10 |         66 |
| g:\flutter_projects\e_learning\windows\runner\utils.h                                                         | C++        |          8 |          6 |          6 |         20 |
| g:\flutter_projects\e_learning\windows\runner\win32_window.cpp                                                | C++        |        210 |         24 |         55 |        289 |
| g:\flutter_projects\e_learning\windows\runner\win32_window.h                                                  | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                         |            |     10,457 |        385 |        928 |     11,770 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
